professor	ritmo	comment
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	A participante está no compasso da música e relaxar um pouco mais o quadril.
Expert 3	Não	No compasso, um bom relaxamento de quadril.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	A participante só está andando para frente e para trás. 
Expert 3	Não	A participante está preocupa em fazer o passo, independente da música. movimento mecânico sem conexão.
Expert 3	Não	Melhor conexão com a música, movimento mecânico.
Expert 3	Não	A participante se mantem no compasso da música, o movimento se tornaria menos mecânico com o relaxamento do quadril.
Expert 3	Não	A participante está preocupa em fazer o passo, independente da música. movimento mecânico sem conexão.
Expert 3	Não	Talvez o relaxamento do quadril ajude na execução do passo.
Expert 3	Não	Falta transferência do peso e relaxamento do quadril.
Expert 3	Não	Falta transferência completa do peso.
Expert 3	Não	Falta transferência completa do peso.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	Falta relaxamento das articulações (tornozelos, joelhos, quadril, coluna). Movimento mecânico. Passo com o pé inteiro no chão.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3	Não	Falta relaxamento das articulações (tornozelos, joelhos, quadril, coluna). Movimento mecânico. Passo com o pé inteiro no chão.
Expert 3	Não	Falta relaxamento das articulações (tornozelos, joelhos, quadril, coluna). Movimento mecânico. Passo com o pé inteiro no chão.
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 3		Não consigo avaliar o passo básico do xote com uma música de baião
Expert 4	Não	A aluna parece ter dificuldades com transferir o peso em cada pisada, gerando pisadas mais rápidas. Pode-se treinar fazendo marcações menores para ganhar mais confiança no equilíbrio e melhorar as transferências de peso. Além disso é importante enfatizar 
Expert 4	Não	A aluna parece ter dificuldades com transferir o peso em cada pisada, gerando pisadas mais rápidas. Pode-se treinar fazendo marcações menores para ganhar mais confiança no equilíbrio e melhorar as transferências de peso. Existe uma consciência da pausa, logo após a terceira pisada, mas ainda deve treinar mais para não esquecê-la e sair do ritmo.
Expert 4	Não	A dificuldade com a transferência de peso continua, mas buscando prestar atenção na pausa do ritmo, a aluna acabou ficando lenta no começo do vídeo, acelerando um pouco mais para frente. Exercícios de transferência de peso, pisadas menores e identificação do ritmo seriam muito bons.
Expert 4	Não	Conseguiu ficar no ritmo durante bastante tempo, mas acabou ficando lenta. Trabalhar a transferência de peso para melhorar a segunda pisada e consciência do ritmo.
Expert 4	Não	A aluna apresenta dificuldades com transferência de peso e identificação do ritmo e da pausa. Treinar identificação de ritmo e pisadas menores.
Expert 4	Não	A aluna apresenta dificuldades com transferência de peso e identificação do ritmo e da pausa. Treinar identificação de ritmo e pisadas menores.
Expert 4	Não	A aluna apresenta dificuldades com transferência de peso e identificação do ritmo e da pausa. Treinar identificação de ritmo e pisadas menores.
Expert 4	Não	A aluna apresenta dificuldades com transferência de peso e identificação do ritmo e da pausa. Treinar identificação de ritmo e pisadas menores.
Expert 4	Não	A aluna apresenta dificuldades com transferência de peso e identificação do ritmo e da pausa. Está melhorando a identificação de ritmo, apesar de ainda perdê-lo e não apresentar segurança no conhecimento. Treinar transferência de peso em cada pisada.
Expert 4	Não	O aluno parece conseguir identificar o ritmo, mas se demora em algumas pisadas a frente ou atrás.
Expert 4	Não	O aluno não faz as pausas depois da pisada esquerda a frente, correndo para a marcação atrás, onde segura o ritmo novamente. Trabalhar a pausa no meio do movimento.
Expert 4	Não	O aluno não faz as pausas depois da pisada esquerda a frente, correndo para a marcação atrás, onde segura o ritmo novamente. Trabalhar a pausa no meio do movimento.
Expert 4	Não	O aluno deve trabalhar a pausa no meio do movimento, após a terceira pisada, para não acelerar.
Expert 4	Não	O aluno deve trabalhar a pausa no meio do movimento, após a terceira pisada, para não acelerar. Ao final da música estava conseguindo acertar mais.
Expert 4	Não	O aluno não faz as pausas no meio do movimento, correndo da pisada a frente para a pisada atrás.
Expert 4	Sim	O aluno ainda não parece ter muita confiança nas pisadas, apesar do estar no ritmo. Com prática o movimento e a identificação se tornam mais naturais. Evitar olhar para baixo também para não prejudicar a postura.
Expert 4	Sim	O aluno ainda não parece ter muita confiança nas pisadas, errando no começo da música, mas identificando e permanecendo no ritmo a partir daí. Com prática o movimento e a identificação se tornam mais naturais. Evitar olhar para baixo também para não prejudicar a postura.
Expert 4	Não	O aluno não faz as pausas no meio do movimento, correndo da pisada a frente para a pisada atrás. Trabalhar a pausa no meio do movimento.
Expert 4	Não	O aluno não faz as pausas no meio do movimento, correndo da pisada a frente para a pisada atrás. Trabalhar a pausa no meio do movimento. Foi melhorando ao decorrer do vídeo mas ainda não conseguiu permanecer no ritmo.
Expert 4	Sim	Apenas se atentar a não olhar para baixo para não prejudicar a postura.
Expert 4	Sim	O aluno se mantém no ritmo mas não transfere bem o peso a cada pisada, ficando quase inexistente a segunda pisada. Trabalhar transferência de peso.
Expert 4	Sim	Apenas se atentar a não olhar para baixo para não prejudicar a postura. Com a prática os movimentos ficarão mais naturais também.
Expert 4	Sim	Apenas se atentar a não olhar para baixo para não prejudicar a postura. Com a prática os movimentos ficarão mais naturais também.
Expert 4	Sim	O aluno não fica 100% no ritmo, mas quando desvia para mais rápido ou mais lento conserta pouco tempo depois. Até estar mais tranquilo com o ritmo, é interessante evitar a rotação do tronco que é uma atenção a mais.
Expert 4	Sim	Muito bom o aluno identificar o erro e consertar, como no começo da dança. Com a prática os movimentos se tornarão mais naturais.
Expert 4	Sim	Apenas continuar praticando para ganhar naturalidade.
Expert 4	Sim	A música poderia ser marcada também em tempo ao invés de contratempo (como ao dançar o arrastapé), dificultando a percepção do aluno, mesmo ele conseguindo.
Expert 4	Sim	Apenas continuar praticando para ganhar naturalidade.
Expert 4	Sim	Apenas continuar praticando para ganhar naturalidade.
Expert 4	Sim	Poderia transferir mais o peso nas marcações, talvez os calçados de salto tenham atrapalhado nesse sentido.
Expert 4	Sim	Muito bom.
Expert 4	Sim	Já começando a tentar músicas mais rápidas, fica mais fácil o encaixe com o par se a terceira pisada não for com os pés juntos, mas eles passarem um pouco desse meio, mantendo o movimento e a direção dele.
Expert 4	Não	A aluna transferia bem o peso mas estava lenta. Tentar pisadas menores quando a velocidade for difícil e trabalhar identificação do ritmo.
Expert 4	Não	A aluna parece ter uma certa consciência do ritmo, mas ainda necessita identificá-lo melhor. Muitas vezes atrasa também para o retorno ao meio, seja na pisada a frente ou trás.
Expert 4	Não	A aluna parece ter uma certa consciência do ritmo, mas ainda necessita identificá-lo melhor. Muitas vezes atrasa também para o retorno ao meio, seja na pisada a frente ou trás.
Expert 4	Não	A aluna parece ter uma certa consciência do ritmo, mas ainda necessita identificá-lo melhor. Mesmo assim conseguiu ficar no ritmo mais para o final do vídeo. Atrasa muito no momento do retorno ao meio, seja na pisada a frente ou trás.
Expert 4	Sim	Apesar de estar no ritmo, várias vezes pareceu que ficaria mais lenta. Ainda falta uma segurança maior nessa consciência do ritmo.
Expert 4	Sim	Ainda pode ter mais firmeza na identificação do ritmo e das pisadas, mas foi muito bom.
Expert 4	Sim	Muito bom.
Expert 4	Não	A aluna pareceu ficar nervosa com a música mais rápida, se afobando para começar e não tendo tempo de identificar o ritmo. É só ter mais calma para identificar o ritmo antes de começar as pisadas.
Expert 4	Não	A aluna estava fora do ritmo por muito pouco, mas ainda assim acelerava as marcações, algumas vezes atropelando as pausas e esperando em outras.
Expert 4	Sim	O aluno permaneceu no ritmo mas parecia não passar em branco pelas pausas por muito pouco.
Expert 4	Sim	Muito bom.
Expert 4	Sim	Muito bom.
Expert 4	Sim	Muito bom
Expert 4	Sim	Muito bom.
Expert 4	Sim	Muito bom.
Expert 4	Sim	A música poderia ser marcada também em tempo ao invés de contratempo (como ao dançar o arrastapé), dificultando a percepção do aluno, mesmo ele conseguindo.
Expert 5	Não	A participante se apresentou insegura ao momento de se iniciar o movimento basico, indicou dificuldade de identificar qual seria o tempo 1 da musica para se iniciar o movimento. Nao conseguiu identificar o ritmo a se seguir durante a filmagem, nao se apre
Expert 5	Não	A participante nao iniciou o movimento na contagem correta da musica, mas percebeu o erro e tentou corrigir ao longo da musica. Durante o tempo 18" ao 23" se permaneceu no ritmo se atentando a realizar marcacoes 1 e 3 do movimento na contagem certa da musica. A participante mostrou ter levemente aprimorado a transferencia de peso na contagem 1 mas ainda nao o suficiente para dizer que esta um moviemnto correto. inutilizacao dos bracos. 
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video, mas apresentou ritmo proprio, isso quer dizer que, mesmo nao estando no ritmo da musica, ela se manteve quase por todo a filmagem em um ritmo constante, que normalmente acontece quando o aluno nao consegue identificar o ritmo da musica, ou ainda esta passando pelo processo de entendimento do movimento que esta realizando e nao consegue assimilar a danca com a musica ainda, precisando manter o foco somente no aprender do passo. Nao utilizacao dos bracos. A visao focada aos pes demonstra ajudar no processo de ritmizacao da danca assimilada com a musica,
Expert 5	Não	Se inicia o movimento Basico 1 no tempo correto da musica. A pessoa se fez presente no ritmo em grande parte do video, mas a ocilacao do ritmo para uma marcacao mais lenta em dois ou mais momentos indica que ainda nao existe consistencia na ritmizacao e nao se pode afirmar que a pessoa esteja no ritmo por reconhecimento do tal. Parece apresentar dificuldade de manter o ritmo nos pes quando se desvia o foco dos pes e busca o olhar a frente. Mostrou maior dominio da transferencia de peso, conseguindo marcar a contagem 1, 2,3 e 'pausa' no tempo da musica mas nao em toda extensao do video. Comeca a tentar utilizar os bracos como parte da danca, mas ainda muito acanhado.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Comeca a enteder que o movimento exige transferencia de peso, e que pode auxiliar na conecao de movimento e ritmo da musica, mas ainda nao executado corretamente, movimento esta apontado e nao pisado de forma suave. Passos comecam a ter mais leveza, isso que dizer, a participante utiliza mais a parte frenteira dos pes como apoio principal e nao mais o pe inteiro e chapado, causando leves desequilibrios especialmente quando o movimento eh realizado com a perna direita para tras. Comeca a utilizar os bracos como forma de balancear o movimento, 
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica.  Demonstra mais confianca na movimentacao do passo, utilizando mais o balanco dos bracos e pisando com mais leveza na contagem 1 e 3, realiza transferencia de peso mas ainda com o nivel baixo de qualidade. Apresentou quebra do ritmo pessoal para tentar atingir o ritmo da musica, comecando em uma velocidade muito mais lenta e passeando entre lenta a ate mesmo mais rapidqa durnte toda a gravacao, no final se faz no ritmo na musica por poucos segundos. Muda ponto de foco, mantendo a cabeca erguida em quase todo o video, e nao interferindo no passo realizado. 
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. Demonstra inseguranca no inicio do video quanto a marcacao dos pes, suponho eu que a candidata tenha ficado um periodo prolongado sem a pratica, quando se comparado ao tempo entre os videos anteriores. Durante o teste a candidata adquiri mais confianca na realizacao do Basico 1 mas ainda sem dominio do ritmo. Com pouca utilizacao dos bracos e pisando com mais leveza na contagem 1 e 3 utilizando a almofada do pe ( regiao anterior do pe, sem uso dos calcanhares) e com transferencia de peso. Posiciona a cabeca alinhada para frente, na busca de um ponto de foco com intuito de concentrar a escutar a musica e ao ritmo a ser seguido.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. A participate comeca a utilizar mais do balanco dos bracos ain de forma inregular, ocilando movimentacao e estatica. Comeca a realizar movimentacao de tronco e ombros na tentativa de achar o balanco assim dizendo, gingado que a danca forro exige. O balanco pode ser concertado com apenas transferencia de peso nos passos 1 e 3. Evitar a torcao do corpo mesmo sendo algo raro de se acontecer quando se esta treinando com um parceiro, mas como a pratica do exerciico se demonstra ser individual eh necessario policiar o movimento para nao gerar vicios em cima da pratica excessiva.
Expert 5	Não	Nao iniciou o Basico 1 no tempo correto da musica. Se manteve fora do ritmo durante todo o video. Demontrou ter escutado o ritmo e buscou se igualar para marcar no ritmo da musica, comecando em muito mais lento para lento. nao utiliozou de bracos, ou tronco durante quase todo o video. O braco entra em acao na tentativa de se manter no ritmo mas se perde o balnaco por nao estar marcado no ritmo correto ainda. Marcacao de pes ainda parecida com videos ateriores, marcaco forte entre 1 e 3, e um pouco pior na transferencia de peso. Ausencia da marcacao 2 em quase todo o video. Olhar focado a frente.
Expert 5	Não	O participante iniciou a primiera marcacao fora do ritmo mais se ajustou rapidamente ao ritmo ainda dentro do primeiro Basico 1, se matendo no ritmo da musica pelos 18 segundos iniciais do video. Momento que o ritmo esta austado e parace mais confiante, o
Expert 5	Não	Nao iniciou o movimento no tempo certo da musica e nao se apresentou no ritmo em nenhum momento do video. Bracos continuam em posicao fletidas, com leve balanco acompanhando o movimento das pernas, assemelhando com a uma caminhada, benefico para a aprendizagem da movimentacao do Basico 1 e a naturalidade do passo, mas pode atrapalhar na marcao de ritmo nao realizando a contagem `pausa` da danca, perdendo as contagens seguintes. O participante parece (sem a certeza quanto ao caso mas algo comum de acontecer) fechar os olhos para se concentrar, tirando o foco visual, para tentar concentrar no foco auditivo e motor.
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video. Bracos se movimentam mais, mas de forma mais mecanizada, de forma a entender que o braco esta realizando a marcacao junto com a contagem das pernas, pode ser utilizado como forma de contar os passos para se manter na contagem correta. tranferencia de peso excessiva entre 1 e 3, tornando a contagem 2 mais longa do que deveria, dificultando ate meso encontrar o ritmo proprio. 
Expert 5	Não	Participante nao conseguiu iniciar o movimento Basico 1 no tempo correto da musica, nao se fez presente no ritmo em nenhum momento do video. Bracos se movimentam mais natural, menos mecanizados, ainda mostrando acentuacoes, o que indica que utiliza os bracos como forma de marcacao do Basico 1. Transferencia de peso se faz mais sutil, dminuindo o tempo de execucao da contagem 2 mas ainda mais prolongado do que o desejado. Aind anao realiza a contagem `pausa` devido a movimentacao assemelhada a uma caminhada.
Expert 5	Não	Participante apresenta inversao da contagem, comecando com a `pausa`, fazendo o movimento Basico 1 ter a contagem1, `pausa` 2,3. Quando essa inversao acontece, o participante pode parecer estar dentro do ritmo caso as pisadas sejam realizadas no ritmo, ma
Expert 5	Não	Na primeira iniciacao do Basico 1 o participante consegue realizar a contagem 1 ( iniciacao do passo) no tempo correto da musica, ja na segunda tentativa nao conseguiu realizar corretamente por milezimos de segundo. Nao se faz presente no ritmo por apresentar erro tecnico na realizacao do movimento Basico 1. Mesmo erro citado anteriormente, cosegue escutar o ritmo e se atenta a realizar a contagem 1e 3 no tempo correto da musica, mas realizando a pausa no momento incorreto.
Expert 5	Sim	Participante inicia o movimento Basico 1 no tempo correto da musica e se faz presente no ritmo durante todo o video. Ausencia de movimentos de bracos. Pisada 1 e 3 sendo feito com o pe chapado (pe inteiro em contato com o chao)  o que torna o movimento com uma caracteristica mais mecanizada. 
Expert 5	Não	Participante nao se apresenta no ritmo durante o video. Continua apresentando inversao da contagem dos passos, impossibilitando qualquer marcacao ser feita corretamente no tempo da musica. Bracos posicionados a frente do corpo com as maos entrelacadas, o que pode significar inseguranca quanto ao que esta fazendo e/ou anulacao do moviemento dos bracos, ate mesmo acao de prender as maos a frente do corpo para ter mais agilidade com as pernas, anulando a necessidade de movimentar o braco ou ate mesmo sem movimentacao, mas pela presenca.
Expert 5	Não	Participante ainda apresenta dificuldades em realizar o Basico 1 de forma tecnicamente correta, nao pontuando em nenhum moento o ritmo da musica com a contagem dos passos. Se atenta a correcao postural, erguendo a cabeca e alinhando a coluna, mas nao consegue se manter por mais que 5 segundos na nova postura.
Expert 5	Não	O participante nao inicou no tempo correto da musica e nao se apresentou no ritmo correto. Marcacoes 1 e 3 acentuadas no ponto certo da musica, mas a contagem `pausa` ainda realizada no momento inadeuqado dentro do passo, tornando o movimento incorreto. Altera algumas caracteristicas bem pontuais no quesito postural, como fletir os joelhos enquanto danca devido a flexao dos pes para dancar na ponta dos pes. Dancar na ponta dos pes ajuda na velocidade da danca, mas pode ocasionar no aumento da velocidade inconscientemente, entao quando se altera esse tecnica ( de se dancar na pontas dos pes) eh preciso uma conscinetizacao deque isso pode ocorrer.
